year,number_trucks,hours,cost,description,animal_group,property_category,special_service_type_category,borough
2016,1,1,326,DOG TRAPPED ON LEDGE,Dog,Outdoor Structure,Animal rescue from height,WESTMINSTER
2016,1,1,326,DOG TRAPPED IN RAILINGS ORLEANS PLAY PARK,Dog,Outdoor,Other animal assistance,RICHMOND UPON THAMES
2016,1,1,326,ASSIST RSPCA WITH BIRD TRAPPED IN NETTING,Bird,Non Residential,Animal rescue from height,BARNET
2016,1,1,326,CAT TRAPPED IN RECLINER CHAIR,Cat,Dwelling,Other animal assistance,BRENT
2016,1,1,326,SMALL DOG STUCK IN FENCE PANEL,Dog,Dwelling,Other animal assistance,HAVERING
2016,1,1,326,RUNNING CALL TO CAT IN TREE ON POND,Cat,Outdoor,Animal rescue from height,BROMLEY
2016,1,2,652,RUNNING CALL TO CAT TRAPPED UP TREE,Cat,Outdoor,Animal rescue from height,BROMLEY
2016,2,3,978,SMALL WHITE DOG STUCK IN THE MUD  LAST SEEN AT CHELSEA CREEK,Dog,Non Residential,Other animal assistance,KENSINGTON AND CHELSEA
2016,1,1,326,DOG TRAPPED IN WALL,Dog,Outdoor Structure,Other animal assistance,BEXLEY
2016,1,1,326,CAT TRAPPED BEHIND METAL SHUTTERS THE CALLER HAS LEFT A ROADSIDE ORANGE CONE BY THE DOOR WHERE THE C,Cat,Non Residential,Other animal assistance,NEWHAM
2016,1,1,326,TWO FOXES TRAPPED IN LIGHTWELL,Fox,Dwelling,Other animal assistance,ISLINGTON
2016,1,1,326,SMALL ANIMAL RESCUE PUPPY FALLEN FROM FIRST FLOOR BALCONY POLICE IN ATTENDANCE,Dog,Dwelling,Animal rescue from below ground,SUTTON
2016,1,1,326,ASSIST POLICE  WITH DOG TRAPPED ON WINDOW LEDGE  ABOVE  KFC  JCT  OF GOLDERS GREEN CRESCENT,Dog,Non Residential,Animal rescue from height,BARNET
2016,1,1,326,DOG STUCK BETWEEN WALL AND FENCE  OCEAN CHILDREN CENTRE,Dog,Outdoor,Other animal assistance,TOWER HAMLETS
2016,1,2,652,SWAN STUCK BETWEEN TWO FENCES NEAR SHOP CALLED BROWN SUGAR,Bird,Outdoor,Other animal assistance,BRENT
2016,1,1,326,DOG TRAPPED ON ROOF OF CAFE,Dog,Dwelling,Animal rescue from height,BARNET
2016,1,1,326,DEER STUCK IN RAILINGS LAS ON SCENE AND HAVE CALLED RSPCA  NR THE COMMUNITY CENTRE,Deer,Outdoor Structure,Other animal assistance,HAVERING
2016,1,1,326,CAT FALLEN FROM BALCONY INTO DOWNSTAIRS GARDEN CALLER STATES CAT IS INJURED,Cat,Outdoor,Other animal assistance,TOWER HAMLETS
2016,1,1,326,CAT TRAPPED UNDER SHED OWNER IN ATTENDANCE,Cat,Non Residential,Other animal assistance,BEXLEY
2016,1,1,326,CAT TRAPPED INBETWEEN CUPBOARD AND LEDGE,Cat,Dwelling,Other animal assistance,KENSINGTON AND CHELSEA
2016,1,1,326,BIRD TRAPPED UNDER RAILWAY BRIDGE  HANGING BY WING,Bird,Outdoor Structure,Animal rescue from height,CROYDON
2016,1,1,326,CAT TRAPPED UNDER DECKING,Cat,Dwelling,Animal rescue from below ground,WALTHAM FOREST
2016,1,1,326,KITTEN TRAPPED UP TREE BEING ATTACKED BY CROWS  RSPCA NOT REQUESTED AT PRESENT,Cat,Dwelling,Other animal assistance,BROMLEY
2016,1,1,326,FOX TRAPPED BETWEEN TWO CONSERVATORIES,Fox,Dwelling,Other animal assistance,BROMLEY
2016,1,1,326,DOG WITH MOUTH TRAPPED IN CAGE,Dog,Dwelling,Other animal assistance,KENSINGTON AND CHELSEA
2016,1,1,326,CAT STUCK IN TREE,Cat,Dwelling,Animal rescue from height,MERTON
2016,1,1,326,DOG IN CANAL ACCESS VIA TUDOR ESTATE,Dog,Outdoor,Animal rescue from water,KENSINGTON AND CHELSEA
2016,1,1,326,CAT TRAPPED OUTSIDE ON DRAINPIPE,Cat,Outdoor Structure,Animal rescue from height,BEXLEY
2016,1,1,326,CAT TRAPPED ON MUD FLATS ON WATERFRONT-CALLED BY RSPCA MEMBERS OF PUBLIC UNABLE TO REACH IT AND TIDE,Cat,Outdoor,Animal rescue from water,BEXLEY
2016,1,1,326,CAT TRAPPED BEHIND WARDROBE,Cat,Dwelling,Other animal assistance,WANDSWORTH
2016,1,1,326,CAT TRAPPED IN CAR SEAT,Cat,Road Vehicle,Other animal assistance,ISLINGTON
2016,1,1,326,CAT TRAPPED ON TOP OF SHED CALLER SAYS ITS PAWS ARE TRAPPED,Cat,Dwelling,Animal rescue from height,NEWHAM
2016,1,1,326,DOG ON ROOF OF BUILDING,Dog,Dwelling,Animal rescue from height,HACKNEY
2016,1,2,652,HERON TRAPPED IN FISHING WIRE ON ISLAND ON LAKE     WATER RESCUE LEVEL ONE NEAR THE TENNIS COURTS  C,Bird,Outdoor,Animal rescue from water,WANDSWORTH
2016,1,1,326,PIDGEON TRAPPED BY LEG DANGLING FROM ROOF - RSPCA ON SCENE,Bird,Outdoor Structure,Animal rescue from height,KINGSTON UPON THAMES
2016,1,4,1304,TWO DEER STUCK IN FENCING RVP OUTSIDE PORTLANDS CUDHAM LANE SOUTH,Deer,Outdoor,Other animal assistance,BROMLEY
2016,1,1,326,CAT FALLEN OUT WINDOW - CANT BE REACHED,Cat,Dwelling,Animal rescue from height,ISLINGTON
2016,2,3,978,TWO DOGS FALLEN IN ICE ON RESERVOIR - WATER RESCUE LEVEL TWO,Dog,Outdoor,Animal rescue from water,BARNET
2017,1,2,652,DOG WITH HEAD STUCK IN RAILINGS CALLED BY OWNER,Dog,Outdoor Structure,Other animal assistance,BROMLEY
2017,1,2,652,DOG STUCK IN HULL OF DERELICT BOAT - WATER RESCUE LEVEL ONE CALLER NOT VERY SURE OF EXACT LOCATION H,Dog,Boat,Animal rescue from water,HOUNSLOW
2017,1,1,326,DEER TRAPPED IN RAILINGS JUNCTION WITH DENNIS LANE,Deer,Outdoor,Other animal assistance,HARROW
2017,1,1,326,SEAGULL TRAPPED IN WIRING,Bird,Non Residential,Animal rescue from height,SOUTHWARK
2017,1,2,652,FOX TRAPPED IN RESOVOIR,Fox,Outdoor,Animal rescue from water,GREENWICH
2017,1,1,326,PIGEON TRAPPED IN WIRE HANGING FROM GUTTERING - GILL RSPCA INSPECTOR ON SCENE,Bird,Dwelling,Animal rescue from height,HOUNSLOW
2017,1,1,326,KITTEN TRAPPED ON ROOF,Cat,Dwelling,Animal rescue from height,CROYDON
2017,1,1,326,SMALL ANIMAL RESCUE - DOG TRAPPED BEHIND SHED,Dog,Outdoor Structure,Other animal assistance,GREENWICH
2017,1,1,326,CAT STUCK ON APEX OF ROOF,Cat,Dwelling,Animal rescue from height,RICHMOND UPON THAMES
2017,1,1,326,BIRD TRAPPED IN LOFT,Bird,Dwelling,Other animal assistance,BARNET
2017,1,1,326,KITTENS STUCK IN HOLE IN CUPBOARD,Cat,Dwelling,Other animal assistance,CROYDON
2017,1,1,326,CAT TRAPPED BEHIND CUPBOARD,Cat,Dwelling,Other animal assistance,HARINGEY
2017,1,1,326,DOG WITH HEAD TRAPPED IN GATE,Dog,Outdoor,Other animal assistance,BROMLEY
2017,2,4,1304,CANADA GOOSE STUCK BETWEEN LOCK GATES  - WATER RESCUE LEVEL TWO IMPLEMENETED  EAST INDIA DOCK BASIN,Bird,Outdoor,Animal rescue from water,TOWER HAMLETS
2017,1,1,326,CAT TRAPPED IN CELLAR,Cat,Dwelling,Animal rescue from below ground,BARNET
2017,1,2,652,BIRD TRAPPED IN TREE TRAPPED IN WIRES     IN BACK GARDEN,Bird,Dwelling,Animal rescue from height,CAMDEN
2017,1,3,978,CAT TRAPPED BETWEEN TWO WALLS   RSPCA NOT BEING NOTIFIED UNLESS YOU REQUEST US TO   .,Cat,Non Residential,Other animal assistance,EALING
2017,1,1,326,CAT TRAPPED IN STAIRS,Cat,Dwelling,Other animal assistance,KENSINGTON AND CHELSEA
2017,1,1,326,ASSIST RSPCA WITH  TWO FOXES TRAPPED IN GUTTER  ONE IS INJURED THE OTHER IS GUARDING IT,Fox,Non Residential,Animal rescue from height,LEWISHAM
2017,1,1,326,CAT TRAPPED ON BALCONY,Cat,Dwelling,Animal rescue from height,TOWER HAMLETS
2017,1,1,326,RUNNING CALL TO INJURED CAT TRAPPED UP TREE,Cat,Dwelling,Animal rescue from height,MERTON
2017,1,1,326,ASSIST RSPCA WITH PIGEON CAUGHT IN NETTING,Bird,Dwelling,Animal rescue from height,CAMDEN
2017,1,1,326,ANIMALTRAPPED IN LOFT,Bird,Dwelling,Animal rescue from height,REDBRIDGE
2017,1,1,326,DOG TRAPPED UNDER ICE VICTORIA PARK,Dog,Outdoor,Animal rescue from water,HACKNEY
2017,1,1,326,DOG TRAPPED IN CAR,Dog,Road Vehicle,Other animal assistance,MERTON
2017,1,1,326,CAT TRAPPED INSIDE CHIMNEY,Cat,Dwelling,Other animal assistance,BROMLEY
2017,1,1,326,DOG FALLEN THROUGH ICE ON LAKE   CONNAUGHT WATERS   - FAR SIDE OF LAKE FROM RANGERS ROAD,Dog,Outdoor,Animal rescue from water,WALTHAM FOREST
2017,1,1,326,BIRD INJURED AND STUCK ON LEDGE,Bird,Non Residential,Animal rescue from height,WESTMINSTER
2017,1,1,326,CAT IN PRECARIOUS POSITION ON WINDOW SILL AT AT SECOND FLOOR LEVEL  CALLER STATES ANIMAL APPEARS INJ,Cat,Dwelling,Animal rescue from height,LAMBETH
2017,2,4,1304,"HORSE TANGLED IN FENCE OF OLD JAIL PUBLIC HOUSE  OWNERS AND POLICE ON SCENE   ,",Horse,Outdoor,Other animal assistance,BROMLEY
